"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1";"Название св-ва для модификации товара №2";"Значение св-ва для модификации товара №2"
"Ель новогодняя 51716";;"Размеры: 150см, 180см, 210см, 240см<br />
<br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0);""></span><br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" geneva,="""" ""noto="""" sans="""" armenian"",="""" bengali"",="""" cherokee"",="""" devanagari"",="""" ethiopic"",="""" georgian"",="""" hebrew"",="""" kannada"",="""" khmer"",="""" lao"",="""" osmanya"",="""" tamil"",="""" telugu"",="""" thai"",="""" sans-serif,="""" arial,="""" tahoma,="""" verdana;""=""""><br />
<br />
<br />
<br />
 ";;51716;"19 500,00";0,00;"15 000,00";100,00000;шт;"https://i5.storeland.net/3/1649/216488525/6e1ffd/sosna-novogodnyaya-50285.png
https://i2.storeland.net/3/1649/216488526/6e1ffd/sosna-novogodnyaya-50285.png
https://i1.storeland.net/3/1649/216488527/6e1ffd/sosna-novogodnyaya-50285.png";;;"Сосна новогодняя";"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-312;;195105693;;;Размер;240см;;
"Новогодние бусы 51715";;"Размер: 10м<br />
 ";;51715;260,00;0,00;200,00;100,00000;шт;https://i5.storeland.net/3/1649/216488514/6e1ffd/novogodnie-busy-51714.png;;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-192;;195105687;;;Размер;единый;;
"Новогодние бусы 51714";;"Размер: 10м<br />
 ";;51714;260,00;0,00;200,00;100,00000;шт;https://i1.storeland.net/3/1649/216488513/6e1ffd/novogodnie-busy-51713.png;;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-188;;195105686;;;Размер;единый;;
"Новогодние бусы 51713";;"Размер: 10м<br />
 ";;51713;260,00;0,00;200,00;100,00000;шт;https://i2.storeland.net/3/1649/216488512/6e1ffd/novogodnie-busy-51712.png;;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-187;;195105685;;;Размер;единый;;
"Новогодние бусы 51712";;"Размер: 10м<br />
 ";;51712;260,00;0,00;200,00;100,00000;шт;https://i1.storeland.net/3/1649/216488511/6e1ffd/novogodnie-busy-51711.png;;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-185;;195105684;;;Размер;единый;;
"Новогодние бусы 51711";;"Размер: 10м<br />
 ";;51711;260,00;0,00;200,00;100,00000;шт;https://i4.storeland.net/3/1649/216488510/6e1ffd/elochka-nastolnaya-51710.png;;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-168;;195105683;;;Размер;единый;;
"Елочка настольная 51710";;"<br />
 ";;51710;450,00;0,00;350,00;100,00000;шт;"https://i5.storeland.net/3/1649/216488508/6e1ffd/elochka-nastolnaya-51709.png
https://i4.storeland.net/3/1649/216488509/6e1ffd/elochka-nastolnaya-51709.png";;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-143;;195105682;;;Размер;20см;;
"Елочка настольная 51710";;"<br />
 ";;51710;580,00;0,00;450,00;100,00000;шт;"https://i5.storeland.net/3/1649/216488508/6e1ffd/elochka-nastolnaya-51709.png
https://i4.storeland.net/3/1649/216488509/6e1ffd/elochka-nastolnaya-51709.png";;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-143;;195105682;;;Размер;25см;;
"Елочка настольная 51710";;"<br />
 ";;51710;710,00;0,00;550,00;100,00000;шт;"https://i5.storeland.net/3/1649/216488508/6e1ffd/elochka-nastolnaya-51709.png
https://i4.storeland.net/3/1649/216488509/6e1ffd/elochka-nastolnaya-51709.png";;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-143;;195105682;;;Размер;30см;;
"Елочка настольная 51709";;"<br />
 ";;51709;450,00;0,00;350,00;100,00000;шт;"https://i3.storeland.net/3/1649/216488488/6e1ffd/girlyanda-vetka-novogodnyaya-51708.png
https://i3.storeland.net/3/1649/216488489/6e1ffd/girlyanda-vetka-novogodnyaya-51708.png
https://i3.storeland.net/3/1649/216488490/6e1ffd/girlyanda-vetka-novogodnyaya-51708.png";;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-73;;195105680;;;Размер;20см;;
