"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Занавес дождик 35982";;"Размер: 2,0 м. х 1,0 м.<br />
Без выбора цвета.";;35982;130,00;0,00;100,00;100,00000;шт;"https://i3.storeland.net/2/9858/198572041/6e1ffd/upakovka-zazhimov-35974.png
https://i5.storeland.net/2/9858/198572042/6e1ffd/upakovka-zazhimov-35974.png";;;"Упаковка зажимов";"аксессуары для волос оптом, заколки, купить резинку, шары оптом, оптом, шарики оптом, дешевая резиночки, шары из фольги, интернет магазин, ободок, товары для праздника";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-324;;188337777;;;Размер;единый
"Упаковка зажимов 35974";;"Набор цветочных зажимов.<br />
Поможет, за считанные минуты, составить красивую композицию из воздушных шаров в виде цветка. В наборе 5 шт.<br />
Диаметр изделия 6 см.<br />
Шары в комплект не входят.";;35974;130,00;0,00;100,00;100,00000;шт;"https://i4.storeland.net/2/9858/198570826/6e1ffd/vozdushnye-shariki-serdce-35047.png
https://i3.storeland.net/2/9858/198570827/6e1ffd/vozdushnye-shariki-serdce-35047.jpg
https://i5.storeland.net/2/9858/198570828/6e1ffd/vozdushnye-shariki-serdce-35047.jpg";;;"Упаковка зажимов";"аксессуары для волос оптом, заколки, купить резинку, шары оптом, оптом, шарики оптом, дешевая резиночки, шары из фольги, интернет магазин, ободок, товары для праздника";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-316;;188337568;;;Размер;единый
"Шары латексные с рисунком 35031";;"Набор, в наборе 100 штук<br />
Размер: ""12"" 30см<br />
Форма : Круглый<br />
Качество: 100% Латекс";;35031;360,00;0,00;280,00;100,00000;шт;https://i3.storeland.net/2/9762/197619456/6e1ffd/shary-lateksnye-s-risunkom-35030.png;;;"Шары латексные с рисунком";"аксессуары для волос оптом, заколки, купить резинку, шары оптом, оптом, шарики оптом, дешевая резиночки, шары из фольги, интернет магазин, ободок, товары для праздника";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-221;;188059807;;;Размер;единый
"Набор фольгированных шаров 35021";;"Пони Букет состоит из 5 фольгированных шаров и 1 цифры:<br />
одного фигурного пони 88см,<br />
двух шаров в виде круга с портретом пони 43 см,<br />
двух фольгированных звезд 45 см<br />
одной цифры.";;35021;325,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/2/9762/197619418/6e1ffd/detskij-nabor-dlya-nogtej-35020.jpg;;;"Набор фольгированных шаров";"аксессуары для волос оптом, заколки, купить резинку, шары оптом, оптом, шарики оптом, дешевая резиночки, шары из фольги, интернет магазин, ободок, товары для праздника";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-180;;188059797;;;Размер;единый
